Corrida,Fitness,Tiempo (s),Interacciones,BLOSUM
1,17.5,51.39,1698,13.0
2,17.5,50.67,1694,13.0
3,17.5,52.07,1689,13.0
4,17.5,54.82,1681,13.0
5,17.5,53.18,1691,13.0
6,17.5,52.84,1691,13.0
7,17.5,53.64,1684,13.0
8,17.5,52.76,1686,13.0
9,17.619021562963063,52.61,1690,13.0
10,17.5,52.77,1681,13.0
11,17.5,52.65,1683,13.0
12,17.5,50.70,1683,13.0
13,17.5,52.30,1689,13.0
14,17.5,52.70,1686,13.0
15,17.5,52.89,1695,13.0
16,17.5,52.08,1688,13.0
17,17.5,52.53,1694,13.0
18,17.5,52.73,1689,13.0
19,17.5,52.55,1693,13.0
20,17.5,51.88,1694,13.0
21,17.5,52.19,1691,13.0
22,17.5,52.29,1680,13.0
23,17.5,53.00,1689,13.0
24,17.5,52.91,1692,13.0
25,17.5,56.61,1694,13.0
26,17.5,53.66,1699,13.0
27,17.5,52.25,1693,13.0
28,17.5,52.84,1694,13.0
29,17.5,53.31,1692,13.0
30,17.5,52.90,1689,13.0
